id,text,user_id,user_screen_name,user_name
1305385748233728000,"@RONOIDA1 @RONOIDA1 @RONOIDA1  I have applied my  advance  PF for withdrawal.   Sir, my family suffers corona virus… https://t.co/8FTxhMgVE2",3150131258,120f663eb805449,Love Arora
1305385714557825025,"they said corona who 
But they're married so no problem it's all good https://t.co/ZyFut8civ4",1089854998987587585,muyguapajuls,laura
1305385712473178115,One gent was literally standing a foot from me. With no mask at all. When I asked him to please put a mask on and k… https://t.co/CRzsM1yQz6,14524389,nimishdubey,Nimish Dubey
1305385711131127810,@SaintPhoenixx @Muppetiers I agree with you on the Grealish arguement bc he genuinely isn’t worth the £80M asking p… https://t.co/8uNmrXCX0l,1113257517826609158,UtdSauce1,Utd Sauce🥤
1305385707150565376,"@chudscns wtf omg i'm so sorry, atleast the lockdown might help? i'm really bad at reassuring but this whole corona… https://t.co/5qWrk9lMCD",1287979185034559489,gremIinstan,𝐜𝐚𝐲𝐝𝐞𝐧𝐜𝐞 𝐥𝐮𝐯𝐬 𝐲𝐨𝐮 🎭 | lou's day!!
1305385688502874112,Being corona positive pushed me to mashonisas – Port Elizabeth in the News - https://t.co/artYdAqBtS #MyPE,15144184,MyPE,Port Elizabeth
1305385681670340608,"Lesenswert:
#kitaabersicher #kita #Kindertagesbetreuung #Covid19 #COVIDー19 #Corona #Arbeitsschutz #Hygienekonzept https://t.co/mZJXAw1Oqq",2283287077,wasbringtuns,Florian Alt-Weise
1305385647696302080,I #VoteMorris for Week 11 @MLS Player of the Week!,28390860,Dyanna_Corona,Dyanna Corona
1305385642269052929,"Corona is temporary, drip is foreva https://t.co/zFpqYNGVBA",1124887941019570176,ohitsme1234,:(
1305385640310108164,@drgulati0420 @iammisakimei @LicypriyaK If your IQ is high then you must understand that postponement of the exam b… https://t.co/lghkJgntvV,1278305420788985856,HritikV79701589,Hritik Verma
1305385637504339970,"@AsariValere @TatataToddC @LojicFresh @its_menieb @IGN Highly doubt the ps5 disc less is gonna be $400, at least it… https://t.co/w09htBZyAZ",927680948019322880,MathewADanger,AliRENzill
1305385619766427648,@CMP_HQ @HinduTrad some jyotish said corona would wrap up by may 2020,1262585695924826113,dhrishtdhyumn01,Dhrishtdhyumn
1305385613433221121,"Corona yogi up cross pakistan 
Thanks yogi ji to make our up the new hot spot of corona in asia",1388760936,akashjain2001,akash jain
1305385609519722496,"After Corona Peoples Are Enjoying At Water Falls In Kotipalli,Vikarabad ... https://t.co/GKy8JrWpgh via @YouTube",892928206227083264,KomariJagadeesh,Murali Cinemas
1305385586560241664,"As for #DengueInDelhi, 
Did you find out the case clusters found in last 6 months?
It's vectorborne disease..
Surel… https://t.co/JR01KI9GbO",10352582,shuvankr,Shuvankar Mukherjee
1305385583351672832,"just a little record of false accusations created this year:
- j//k p3do (bc he hugged his nct member friend)
- j//… https://t.co/ux0DkYGp56",1078247565408247808,minashadow,sum⁷ #1²
1305385579572531201,@mjhegar And the people in the RGV (South Texas) were totally ignored while he taunted in social media drinking a Corona!  He is a disgrace!,508170925,JAG_BIC,Jorge
1305385578284736512,"corona you can pack it up already, i thought this online school was only gonna be for a week . im tired hoe",892950103144583168,m4yuh7,miaa 〠
1305385576074481666,"I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the help of this g… https://t.co/sbhdKZPswz",714575242438565889,Robert_James105,Robert James
1305385571167035392,Going by the Print electronic media blitzkrieg... the most burning issue in India is one and the only one is SSR su… https://t.co/EpK1UWsmup,1112005314239516674,naccaw,INDIA(N) FIRST INDIA(N )LAST...
1305385548538814466,@SuvarnaVeerappa @ANI @KanganaTeam still no masks...sometimes I think she really thinks she is reincarnation of Lax… https://t.co/MtzwwplRyW,159427251,sid62065,Sid M
1305385547737772032,🥺 y’all still kissing in corona time 🥺 https://t.co/qMlFh28VuM,2845041345,morning_sht,MORNING SHT 🇳🇦
1305385528603234304,"SHARE MAX

What is Uttar Pradesh's Corona Kit Scam?
How did Yogi Govt failed to Stop Corruption?

Listen to Bharat… https://t.co/xDTea4jIDz",2991581923,DaaruBaazMehta,DaaruBaaz Mehta
1305385498219671552,"@RanaAyyub Join your hero in jail please! Hope you're recovering from Corona...well. It could be deadly, take rest.",361825370,theatulrathore,Atul #StayHome
1305385479295049728,@AdamLaxalt @realDonaldTrump @NVGOP Hopefully you all get the corona and none of the rest of us have to worry about… https://t.co/jJv3zr204b,1202443460839501824,ver0sueno,🇨🇺🇵🇷🇲🇽
1305385459623759874,@SamsungIndia Basically corona made me poor and you are  still launching more and more phone #samsungindia,1305231869894520832,Muzahid51,Muzahid Hussain
